,,Total,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Dyfed Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,London Met.,Merseyside,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
S1.,"Can I just confirm, are you 16 or over?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
S2.,"Can I check, do you work for the police?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,No,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
S3.,"Can I confirm, have you called the police to report an incident within the last year?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,91%,92%,93%,92%,93%,71%,86%,91%,94%,89%,87%,89%,94%,91%,95%,88%,94%,86%,95%,95%,93%,85%,92%,88%,90%,92%,89%,84%,86%,94%,90%,91%,86%,91%,91%,89%,87%,92%,96%,95%,92%,90%,93%,94%
,No,7%,5%,7%,7%,6%,29%,10%,7%,5%,7%,9%,9%,6%,7%,4%,10%,6%,9%,4%,5%,7%,10%,6%,10%,7%,8%,7%,14%,12%,4%,9%,7%,10%,7%,7%,8%,11%,4%,3%,3%,6%,8%,6%,4%
,Don't know,2%,3%,-,1%,1%,-,4%,3%,1%,4%,4%,2%,-,3%,1%,2%,-,5%,1%,-,-,5%,2%,2%,3%,-,4%,2%,2%,2%,1%,3%,4%,2%,2%,3%,2%,4%,1%,2%,2%,2%,1%,2%

,Base (Those who don't remember calling the police to report an incident within the last year):,523,8,7,8,7,2,14,15,9,11,15,11,6,10,5,47,9,14,5,5,7,15,10,12,39,8,11,16,14,6,10,11,14,9,9,11,13,8,4,5,8,42,27,6
S4.,Our records indicate that you called ... (police force/constabulary) about ... (ASB closing category) in September last year. Do you remember making this call?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,61%,63%,71%,75%,57%,100%,64%,53%,56%,73%,33%,45%,67%,80%,80%,60%,56%,43%,40%,60%,29%,47%,50%,75%,79%,63%,55%,56%,50%,67%,40%,45%,71%,67%,89%,100%,69%,63%,100%,60%,38%,60%,67%,33%
,No,33%,25%,29%,13%,43%,-,14%,40%,33%,27%,60%,45%,33%,20%,-,34%,33%,36%,40%,40%,71%,40%,30%,17%,18%,38%,36%,44%,36%,33%,40%,55%,29%,33%,11%,-,31%,38%,-,40%,50%,40%,30%,50%
,Don't know,6%,13%,-,13%,-,-,21%,7%,11%,-,7%,9%,-,-,20%,6%,11%,21%,20%,-,-,13%,20%,8%,3%,-,9%,-,14%,-,20%,-,-,-,-,-,-,-,-,-,13%,-,4%,17%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.1.,"To start, can you tell me how many years you have lived in your local area?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
