,Number of calls for assistance,calls for assistance with DA marker,Percentage of calls for assistance with a DA marker,Calls for assistance from repeat victims,Percentage of Calls with a DA marker from repeat victims,Total crime,crime with a DA marker,Percentage of crime with a DA marker,Assault with intent to cause serious harm,assault with intent to cause serious harm DA marker,Percentage of Assault with intent with a DA marker,Assault with injury,Assault with injury DA marker,Percentage of Assault with injury with a DA marker,Harassment,harassment DA marker,Percentage of harassment with a DA marker,sexual offences,sexual offences DA marker,Percentage of Sexual offences with a DA marker,high risk,medium risk,standard risk,Total cases,percentage high risk,percentage medium risk,percentage standard risk,DA related arrests,Da related arrests per 100 crimes with a DA marker,DA charges,DA charges per DA crime,DA cautions,DA cautions per DA crime,DA OOCD,Da OOCD per DA crime,victim-based crime volume,victim-based crime charge,percentage victim-based charge per crime,victim-based crime caution,percentage victim-based caution per crime,VAP volume,VAP charge,percentage VAP charge per crime,VAP caution,percentage VAP caution per crime,Sexual offences volume,Sexual offences charge,percentage sexual offences charge per crime,Sexual offences caution,percentage sexual offences caution per crime,Assault without injury with a DA marker
Avon & Somerset,938224,18780,2%,571,3%,95926,7877,8%,248,52,21%,7828,2788,36%,882,503,57%,1641,216,13%,750,3588,10502,14840,5%,24%,71%,5550,70,2243,29%,760,10%,131,2%,83495,12787,15%,3953,5%,16182,4821,30%,1877,12%,1460,441,30%,68,5%,2404
Bedfordshire,416306,9453,2%,2978,32%,35115,2868,8%,95,15,16%,2982,1041,35%,419,238,57%,496,60,12%,136,100,25,261,52%,38%,10%,2254,79,589,20%,405,14%,67,2%,31378,3883,12%,1102,4%,6058,1367,23%,550,9%,462,115,25%,11,2%,858
Cambridgeshire,185738,11200,6%,Data not available,Data not available,43570,2927,7%,213,31,15%,2645,1021,39%,418,255,61%,700,81,12%,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,1571,54,1096,41%,277,9%,47,2%,39897,5485,14%,1369,3%,6494,2305,35%,674,10%,610,147,24%,26,4%,954
Cheshire,254800,3733,1%,1238,33%,56359,4779,8%,192,30,16%,4649,1323,28%,391,227,58%,884,212,24%,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,1061,23%,271,6%,175,4%,50026,6644,13%,1599,3%,10825,2172,20%,752,7%,809,190,23%,12,1%,1679
Cleveland,373641,12659,3%,5332,42%,39462,3168,8%,186,37,20%,3476,1125,32%,193,117,61%,582,37,6%,502,922,4851,6275,8%,15%,77%,3109,98,873,25%,302,10%,24,1%,34773,7295,21%,2560,7%,6602,1870,28%,1179,18%,556,152,27%,28,5%,788
Cumbria,349426,6748,2%,3043,45%,23686,2308,10%,116,29,25%,2272,717,32%,343,190,55%,403,20,5%,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,2057,89,920,40%,262,11%,30,1%,19732,4294,22%,1235,6%,4460,1677,38%,641,14%,354,102,29%,7,2%,661
Derbyshire,269895,18220,7%,3116,17%,51474,5054,10%,227,57,25%,5014,2029,40%,692,481,70%,870,108,12%,172,524,842,1538,11%,34%,55%,Data not available,Data not available,1550,31%,429,8%,862,17%,45565,6940,15%,1542,3%,9820,2753,28%,899,9%,802,215,27%,22,3%,1460
Devon & Cornwall,855390,27871,3%,12741,46%,85497,9212,11%,643,160,25%,10158,3411,34%,1201,704,59%,2061,269,13%,290,433,438,1161,25%,37%,38%,4685,51,1815,18%,1195,13%,185,2%,72252,8778,12%,3800,5%,19490,3491,18%,2256,12%,1927,356,18%,102,5%,2734
Dorset,172901,8381,5%,753,9%,38911,2648,7%,70,17,24%,3648,1383,38%,305,192,63%,586,130,22%,36,32,65,133,27%,24%,49%,Data not available,Data not available,644,18%,316,12%,67,3%,36498,3872,11%,1361,4%,6192,1481,24%,731,12%,569,141,25%,30,5%,875
Durham,185768,14057,8%,915,7%,30268,2280,8%,118,20,17%,2312,814,35%,317,199,63%,501,23,5%,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,966,42%,596,26%,45,2%,26587,5019,19%,1972,7%,4390,1641,37%,1087,25%,368,129,35%,25,7%,479
Dyfed-Powys,157986,2456,2%,86,4%,18347,1346,7%,127,29,23%,1928,563,29%,137,54,39%,380,23,6%,36,67,71,174,21%,39%,41%,1140,85,394,20%,304,23%,5,0%,13482,3174,24%,1963,15%,3361,1117,33%,881,26%,368,98,27%,34,9%,367
Essex,407031,27850,7%,13346,48%,98578,8862,9%,546,91,17%,8223,2962,36%,1641,971,59%,1594,235,15%,212,296,113,621,34%,48%,18%,7327,83,2973,36%,767,9%,85,1%,88499,11519,13%,3678,4%,17892,4726,26%,1682,9%,1442,218,15%,49,3%,2647
Gloucestershire,151391,5092,3%,2137,42%,29480,1904,6%,141,34,24%,2362,771,33%,143,76,53%,534,131,25%,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,453,19%,224,12%,76,4%,26369,3002,11%,903,3%,4372,1011,23%,421,10%,503,105,21%,16,3%,495
Greater Manchester,1008452,65435,6%,10565,16%,176348,13399,8%,905,154,17%,12953,4478,35%,2429,1667,69%,2959,353,12%,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,5857,45%,1218,9%,705,5%,157881,23318,15%,4471,3%,29065,9146,31%,2527,9%,2772,816,29%,65,2%,3494
