,Percentage of respondents satisfied with overall service in 12 months to September 2014,Confidence Interval percentage of respondents satisfied with overall service in 12 months to September 2014,Percentage of respondents satisfied with overall service in 12 months to September 2013,Confidence Interval percentage of respondents satisfied with overall service in 12 months to September 2013,Percentage of respondents satisfied with overall service in 12 months to September 2012,Confidence Interval percentage of respondents satisfied with overall service in 12 months to September 2012,Percentage of respondents satisfied with overall service in 12 months to September 2011,Confidence Interval percentage of respondents satisfied with overall service in 12 months to September 2011
,userSatisfaction y4,userSatisfaction y4Int,userSatisfaction y3,userSatisfaction y3Int,userSatisfaction y2,userSatisfaction y2Int,userSatisfaction y1,userSatisfaction y1Int
England and Wales,84.65958887,0.193316511,85.19290111,0.193038116,84.0170667,0.199411201,83.90741135,0.192521391
Avon and Somerset,86.90199853,1.204243724,88.47406666,1.126108106,86.02625194,1.151571599,88.18922215,1.001747595
Bedfordshire,82.98896335,0.141522058,82.72559013,0.151133387,80.62057391,1.432649175,79.98706296,1.495882465
Cambridgeshire,88.0226079,1.292982385,88.3886854,1.245046877,85.08982667,1.466929249,86.20820289,1.368555175
Cheshire,85.71085836,2.270781116,88.44768422,1.683268205,85.97406648,1.902107024,86.95894511,1.683892041
City of London,86.95402299,3.721690184,89.28069118,3.919859353,74.96770026,16.9719592,88.71212121,5.98399812
Cleveland,82.56692259,1.70124168,84.18248095,1.580224181,82.52861001,1.600196358,84.24414916,1.543837467
Cumbria,90.8355127,2.523130939,89.31337109,2.676757147,91.47095299,2.422174151,87.80989407,2.753427961
Derbyshire,86.90579742,1.452745511,87.12958234,1.438227881,87.17545732,1.525442916,85.92169149,1.616170582
Devon and Cornwall,83.43859417,1.528548845,84.85448076,1.517771774,84.9638921,1.527658225,86.05887112,1.508828643
Dorset,84.05515741,1.427862715,83.33039131,1.473300031,83.84650009,1.394958879,83.64155796,1.52427267
Durham,89.51420342,1.716297997,89.7166053,1.510703451,87.53832076,1.844294416,86.69199871,1.665834789
Dyfed-Powys,85.01266094,3.041658996,85.75236191,3.772319777,86.68515111,2.965793643,83.49811276,2.799920506
Essex,81.21070318,1.647952636,82.43099118,1.623586502,81.51252973,1.557192768,83.25163218,1.543324366
Gloucestershire,82.197049,1.738876866,80.87613758,1.7641351,81.35119651,1.71315049,81.66825439,1.62546338
Greater Manchester,84.27413993,0.813173707,84.53301068,0.874990007,84.69542217,0.840782156,83.51386115,0.848228938
Gwent,78.55179801,1.615160091,79.59875386,1.752316133,82.31892041,1.71239259,82.05802486,1.61043641
Hampshire,86.03974293,0.970834384,85.23258618,0.932444444,82.22861185,0.969479066,82.7323509,0.828174059
Hertfordshire,89.02201634,1.291904352,88.31171057,1.253435572,88.5219801,1.299810261,87.58605677,1.448431572
Humberside,85.18112155,1.500496116,85.6264316,1.25067412,85.72768669,1.266509064,83.6391887,1.226477104
Kent,86.65967998,1.208966582,86.00443399,1.272145794,88.37418296,1.130885741,87.58413624,1.044347719
Lancashire,81.32790644,0.776890645,85.85466129,0.654577214,85.69419762,0.986028062,85.30150222,1.347643928
Leicestershire,84.03727321,1.917977034,85.28082598,1.861293999,84.96716769,1.77370132,86.53159629,1.619171348
Lincolnshire,83.87246732,1.964215556,83.2677229,1.984079165,83.25044583,1.965137441,82.61684127,1.856137815
Merseyside,84.46026739,0.08790164,88.87382624,0.105770057,88.22386298,0.915258363,88.03954958,0.91869703
Metropolitan Police,79.7193603,0.615996163,78.49627583,0.638273537,74.64267521,0.682835173,75.03387513,0.661652164
Norfolk,89.2632758,1.372126769,88.41066446,1.272831281,88.03250411,1.347422583,85.46822918,2.130163785
Northamptonshire,84.38228386,2.227511667,85.52003364,1.755608283,83.36809642,1.808013629,84.68410382,1.822994955
Northumbria,91.40218215,1.135400713,91.22285857,1.116122574,92.44004576,1.030224254,92.87164112,1.073491871
North Wales,81.44364214,1.804349153,80.27337803,1.808566953,81.60514537,1.7281308,82.46622233,1.690779024
North Yorkshire,87.93923674,1.17278557,87.9551057,0.869874276,85.29663619,1.339284422,87.13765964,1.336521629
Nottinghamshire,86.66577099,0.881243318,87.23789672,0.846928954,87.13243986,0.775924807,87.47612164,0.739781727
South Wales,88.25348048,0.973136903,88.73965546,0.878728573,85.53822045,0.979961003,87.36224652,0.903189195
South Yorkshire,86.09262878,1.333276217,84.41896947,1.412416607,85.01427406,1.492804344,85.20052097,1.438308155
Staffordshire,89.68240424,1.527517417,90.92954349,1.570420028,86.11233999,1.811797799,90.20603845,1.376934006
Suffolk,88.01931878,1.752341646,87.68831076,1.768203371,83.30564608,2.020032507,81.84005188,1.986238737
Surrey,85.90657643,0.993100071,87.45540345,0.877105841,83.25481023,1.034822148,83.97893946,1.00582775
Sussex,82.48568976,1.135825933,84.33871343,1.220064868,84.98771194,1.361271056,82.35723249,1.590584447
Thames Valley,89.12308291,1.724884978,88.02391085,1.836325281,86.93031657,1.065403098,84.75309329,0.963030744
Warwickshire,83.82304518,1.712852498,85.97220438,1.647148467,81.5312492,1.881338066,81.13940179,1.720559976
West Mercia,84.65615894,1.21382272,85.48043296,1.212957938,84.80154961,1.146087942,85.31387352,1.180964356
West Midlands,83.14992912,0.418398,84.71648906,0.42,87.23608212,0.945457988,85.41604946,0.735513519
West Yorkshire,88.68201853,0.764732942,87.99740201,0.750297718,86.25802162,0.752395182,84.63635872,0.757382462
Wiltshire,88.84997471,2.019097756,89.42606732,1.801416509,85.19343518,2.015552142,81.90708498,2.865292389
